cliente_id,restaurante_id,nome,categoria,rating
1,90,Burger da Vila #90,burguer,2.35
1,80,Brasil Gourmet #80,brasileira,2.95
1,82,Brasil da Vila #82,brasileira,4.26
1,91,Itália no Prato #91,italiana,3.08
1,38,La Massa no Prato #38,pizza,2.57
1,41,Sushi Gourmet #41,japonesa,4.08
1,54,Feijão do Chef #54,brasileira,5.0
1,40,Temaki no Prato #40,japonesa,3.35
1,119,Cantina do Chef #119,italiana,3.88
1,102,Burger Zen #102,burguer,4.0
1,23,Hambúrguer Gourmet #23,burguer,1.93
1,2,Feijão 360 #2,brasileira,4.89
1,6,Pasta do Chef #6,italiana,3.7
1,33,Sabor da Vila #33,brasileira,3.46
1,15,Cantina 360 #15,italiana,2.82
1,68,Rodízio Express #68,pizza,2.26
1,105,Burger Zen #105,burguer,2.97
1,94,Confeitaria da Vila #94,doces,3.45
1,29,Cantina no Prato #29,italiana,2.56
1,50,Doçura Zen #50,doces,3.07
1,64,La Massa da Vila #64,pizza,2.86
1,102,Burger Zen #102,burguer,2.88
1,104,Feijão Express #104,brasileira,2.57
1,110,México da Vila #110,mexicana,2.15
1,64,La Massa da Vila #64,pizza,3.93
1,88,Pizza no Prato #88,pizza,3.2
1,15,Cantina 360 #15,italiana,2.57
1,73,Rodízio Gourmet #73,pizza,2.86
1,34,Burger Gourmet #34,burguer,5.0
1,54,Feijão do Chef #54,brasileira,4.32
1,81,Tacos Express #81,mexicana,3.89
1,34,Burger Gourmet #34,burguer,2.58
1,7,Leve do Chef #7,saudavel,3.44
1,2,Feijão 360 #2,brasileira,3.43
1,3,Verde Express #3,saudavel,2.38
1,2,Feijão 360 #2,brasileira,4.94
1,14,Japão do Chef #14,japonesa,3.45
1,32,La Massa do Chef #32,pizza,3.78
2,18,Cantina do Chef #18,italiana,3.24
2,33,Sabor da Vila #33,brasileira,2.76
2,33,Sabor da Vila #33,brasileira,4.31
2,107,Confeitaria do Chef #107,doces,2.75
2,28,Hambúrguer Zen #28,burguer,1.88
2,100,Verde do Chef #100,saudavel,4.57
2,57,Itália Express #57,italiana,2.9
2,120,Verde Express #120,saudavel,3.14
2,104,Feijão Express #104,brasileira,2.85
2,95,Açúcar do Chef #95,doces,3.73
2,107,Confeitaria do Chef #107,doces,2.35
2,81,Tacos Express #81,mexicana,1.61
2,104,Feijão Express #104,brasileira,4.21
2,35,Açúcar Gourmet #35,doces,3.66
2,13,Japão no Prato #13,japonesa,3.92
2,79,México Express #79,mexicana,4.38
2,54,Feijão do Chef #54,brasileira,3.04
2,54,Feijão do Chef #54,brasileira,3.73
2,65,México do Chef #65,mexicana,3.84
2,46,Brasil Express #46,brasileira,3.18
2,80,Brasil Gourmet #80,brasileira,2.79
2,4,Tacos 360 #4,mexicana,3.42
2,117,Pizza da Vila #117,pizza,4.0
2,111,Cantina no Prato #111,italiana,3.36
2,112,México Express #112,mexicana,4.03
2,46,Brasil Express #46,brasileira,3.5
2,67,Sabor 360 #67,brasileira,2.11
2,116,Sabor da Vila #116,brasileira,3.56
2,109,Açúcar Zen #109,doces,2.19
2,100,Verde do Chef #100,saudavel,4.07
2,52,Confeitaria Gourmet #52,doces,3.93
2,73,Rodízio Gourmet #73,pizza,4.02
2,101,Tacos Express #101,mexicana,3.11
2,36,Natural Express #36,saudavel,2.76
2,80,Brasil Gourmet #80,brasileira,3.21
2,103,Smash Gourmet #103,burguer,2.97
2,90,Burger da Vila #90,burguer,1.7
2,61,Temaki Gourmet #61,japonesa,2.65
2,75,Verde Gourmet #75,saudavel,3.7
2,119,Cantina do Chef #119,italiana,4.31
2,77,Feijão do Chef #77,brasileira,4.19
2,100,Verde do Chef #100,saudavel,3.88
2,93,Hambúrguer do Chef #93,burguer,3.43
2,89,Sabor da Vila #89,brasileira,3.54
2,91,Itália no Prato #91,italiana,1.85
2,57,Itália Express #57,italiana,2.69
2,60,Leve do Chef #60,saudavel,3.4
2,59,Sushi Gourmet #59,japonesa,4.01
2,4,Tacos 360 #4,mexicana,4.01
2,33,Sabor da Vila #33,brasileira,3.14
2,22,Natural Express #22,saudavel,3.11
2,108,Feijão do Chef #108,brasileira,3.67
2,36,Natural Express #36,saudavel,2.71
2,19,Itália Express #19,italiana,2.82
2,16,Leve do Chef #16,saudavel,2.87
2,88,Pizza no Prato #88,pizza,4.48
3,44,Cantina Gourmet #44,italiana,4.05
3,35,Açúcar Gourmet #35,doces,3.5
3,70,Açúcar Gourmet #70,doces,3.47
3,92,Feijão no Prato #92,brasileira,3.01
3,119,Cantina do Chef #119,italiana,3.4
3,18,Cantina do Chef #18,italiana,3.33
3,7,Leve do Chef #7,saudavel,3.32
3,88,Pizza no Prato #88,pizza,2.89
3,104,Feijão Express #104,brasileira,4.38
3,105,Burger Zen #105,burguer,1.78
3,86,Temaki Zen #86,japonesa,2.34
3,116,Sabor da Vila #116,brasileira,3.36
3,64,La Massa da Vila #64,pizza,4.13
3,111,Cantina no Prato #111,italiana,4.55
3,116,Sabor da Vila #116,brasileira,2.12
3,105,Burger Zen #105,burguer,2.73
3,41,Sushi Gourmet #41,japonesa,1.69
3,26,Confeitaria Express #26,doces,3.16
3,70,Açúcar Gourmet #70,doces,3.39
3,56,Brasil da Vila #56,brasileira,4.06
3,107,Confeitaria do Chef #107,doces,3.56
3,13,Japão no Prato #13,japonesa,3.8
3,35,Açúcar Gourmet #35,doces,4.05
3,97,Burger Express #97,burguer,2.33
3,13,Japão no Prato #13,japonesa,2.08
3,41,Sushi Gourmet #41,japonesa,3.37
3,49,Açúcar Zen #49,doces,2.4
3,80,Brasil Gourmet #80,brasileira,3.99
3,23,Hambúrguer Gourmet #23,burguer,2.86
3,106,Burger Express #106,burguer,3.76
3,55,México no Prato #55,mexicana,2.64
3,111,Cantina no Prato #111,italiana,3.63
3,59,Sushi Gourmet #59,japonesa,2.96
3,36,Natural Express #36,saudavel,2.71
3,19,Itália Express #19,italiana,2.97
3,2,Feijão 360 #2,brasileira,3.73
3,67,Sabor 360 #67,brasileira,2.21
3,14,Japão do Chef #14,japonesa,2.02
3,49,Açúcar Zen #49,doces,4.32
3,75,Verde Gourmet #75,saudavel,3.62
3,36,Natural Express #36,saudavel,2.79
3,24,Pasta 360 #24,italiana,4.85
3,100,Verde do Chef #100,saudavel,3.21
3,115,Nacho no Prato #115,mexicana,3.98
3,13,Japão no Prato #13,japonesa,3.19
3,22,Natural Express #22,saudavel,2.16
3,116,Sabor da Vila #116,brasileira,4.72
3,5,Sushi no Prato #5,japonesa,3.52
3,118,Confeitaria no Prato #118,doces,3.14
3,2,Feijão 360 #2,brasileira,3.96
3,107,Confeitaria do Chef #107,doces,3.19
3,40,Temaki no Prato #40,japonesa,3.4
3,113,Pasta do Chef #113,italiana,1.3
3,41,Sushi Gourmet #41,japonesa,2.46
3,83,Natural 360 #83,saudavel,3.77
3,10,Smash Gourmet #10,burguer,2.74
3,33,Sabor da Vila #33,brasileira,3.13
3,100,Verde do Chef #100,saudavel,2.46
3,65,México do Chef #65,mexicana,4.43
3,112,México Express #112,mexicana,4.08
4,45,Feijão 360 #45,brasileira,4.12
4,28,Hambúrguer Zen #28,burguer,3.2
4,102,Burger Zen #102,burguer,3.61
4,7,Leve do Chef #7,saudavel,4.08
4,9,Tacos da Vila #9,mexicana,3.23
4,54,Feijão do Chef #54,brasileira,3.61
4,34,Burger Gourmet #34,burguer,3.91
4,95,Açúcar do Chef #95,doces,2.89
4,81,Tacos Express #81,mexicana,1.94
4,100,Verde do Chef #100,saudavel,4.71
4,42,Nacho 360 #42,mexicana,2.38
4,95,Açúcar do Chef #95,doces,3.11
4,106,Burger Express #106,burguer,3.15
4,45,Feijão 360 #45,brasileira,2.64
4,44,Cantina Gourmet #44,italiana,3.97
4,109,Açúcar Zen #109,doces,3.64
4,7,Leve do Chef #7,saudavel,3.05
4,45,Feijão 360 #45,brasileira,2.17
4,16,Leve do Chef #16,saudavel,3.5
4,4,Tacos 360 #4,mexicana,1.32
4,15,Cantina 360 #15,italiana,3.17
4,54,Feijão do Chef #54,brasileira,4.64
4,88,Pizza no Prato #88,pizza,3.44
4,38,La Massa no Prato #38,pizza,4.02
4,105,Burger Zen #105,burguer,2.6
4,54,Feijão do Chef #54,brasileira,5.0
4,116,Sabor da Vila #116,brasileira,4.13
4,116,Sabor da Vila #116,brasileira,3.69
4,100,Verde do Chef #100,saudavel,3.3
4,112,México Express #112,mexicana,2.54
4,90,Burger da Vila #90,burguer,3.08
4,108,Feijão do Chef #108,brasileira,4.22
4,32,La Massa do Chef #32,pizza,2.28
4,45,Feijão 360 #45,brasileira,3.07
4,97,Burger Express #97,burguer,3.52
4,54,Feijão do Chef #54,brasileira,4.35
4,104,Feijão Express #104,brasileira,3.82
4,107,Confeitaria do Chef #107,doces,2.43
4,39,Rodízio do Chef #39,pizza,3.88
4,103,Smash Gourmet #103,burguer,3.42
4,22,Natural Express #22,saudavel,2.44
4,44,Cantina Gourmet #44,italiana,3.18
4,64,La Massa da Vila #64,pizza,2.1
4,31,Leve do Chef #31,saudavel,3.63
4,74,Burger Gourmet #74,burguer,3.2
4,74,Burger Gourmet #74,burguer,2.4
4,29,Cantina no Prato #29,italiana,3.24
4,101,Tacos Express #101,mexicana,2.75
4,81,Tacos Express #81,mexicana,2.58
4,41,Sushi Gourmet #41,japonesa,1.86
4,32,La Massa do Chef #32,pizza,2.03
4,107,Confeitaria do Chef #107,doces,3.26
4,104,Feijão Express #104,brasileira,3.03
4,31,Leve do Chef #31,saudavel,3.91
